"pointid","xcoord","ycoord"
376,1704990.2275,671224.871222663
377,1705011.773,670781.191722659
378,1705125.2888,670539.007922661
379,1704720.5002,667120.234422661
380,1703501.9984,663676.937922663
381,1716006.0909,656922.379622664
382,1716722.6973,657404.965122666
383,1713426.3889,658361.137922662
384,1713286.7712,658164.716822662
385,1712101.4882,657420.059822664
386,1711549.584,656963.694722664
387,1710597.8741,656145.237022664
388,1708880.5161,656047.680722662
389,1706750.2128,659708.691222661
390,1708431.583,656831.45622266
391,1705836.9948,660291.658822668
392,1704727.0442,662021.554422661
393,1720970.2117,643688.26962266
394,1722794.4889,643421.110422665
395,1719379.442,644668.629422665
396,1717369.1356,643789.661622666
397,1716591.6162,645143.01062266
398,1714432.01,647756.617722666
399,1714612.1379,647621.068122664
400,1714758.1054,647407.051422671
401,1715558.1012,645999.343022664
402,1714426.9869,647779.102622661
403,1714337.7543,648630.176722662
404,1702559.8735,726989.680322664
405,1705806.3513,723984.545322668
406,1720240.663,657261.450222663
407,1721300.9098,656238.880522663
408,1721224.2219,655980.441922663
409,1721912.9157,653762.693322662
410,1722096.8083,653575.499522669
411,1722823.9596,653756.273522662
412,1724737.1886,640446.511222661
413,1725200.7887,640788.708022665
414,1722458.103,640181.959522666
415,1721586.2861,640661.673522666
416,1724000.8021,639242.814222665
417,1718703.5034,645231.368222664
418,1718275.6699,645828.493522663
419,1717175.9651,645939.809422665
420,1717178.2305,646184.311622666
421,1716922.0477,646706.919922668
422,1716721.8122,647071.490822659
423,1714128.1318,647636.311622659
424,1713772.3782,647748.389122663
425,1715421.624,642502.222122664
426,1714425.9508,643004.042122661
427,1714151.3021,643354.630322664
428,1711910.6505,645115.843122668
429,1711472.9614,644669.155522668
430,1710710.4369,646857.429622662
431,1713388.279,643011.09712266
432,1712737.1527,642941.785322658
433,1714078.4555,641158.124822666
434,1716435.1109,641469.134922662
435,1716568.8856,640638.438622666
436,1720917.4404,643542.685522661
437,1719761.6282,641752.545622662
438,1718938.4275,642384.768322664
439,1721123.7587,641969.978522665
440,1721924.1166,645005.659822663
441,1723027.6478,643892.912622661
442,1717039.6133,648252.157222662
443,1718484.3938,648632.339522659
444,1718500.7772,648634.127722667
445,1716754.6147,649586.816822666
446,1717343.1499,649647.348322663
447,1715710.5659,648348.981022661
448,1715623.3328,648195.720922669
449,1715563.5958,649724.96902266
450,1716043.6507,651324.830322664
451,1717238.284,650313.906522661
452,1714689.2509,650991.00132267
453,1714075.1881,653186.073822665
454,1716058.8033,652495.592222669
455,1716428.2862,653039.767822664
456,1713085.4733,650396.850022663
457,1714485.4583,654195.811722661
458,1718159.4537,651558.35672266
459,1716458.9373,655368.204622662
460,1717843.5322,656238.596122659
461,1712686.4801,660344.305222666
462,1711290.0788,659075.118522671
463,1710451.8544,660398.881822668
464,1711215.0345,659480.685222671
465,1710137.9135,660913.734822662
466,1710050.835,661049.054522663
467,1710861.4682,658656.775522664
468,1710748.2695,658295.741722664
469,1710165.759,658682.438122668
470,1709940.6796,658695.126722663
471,1709566.6347,658588.012022667
472,1710178.2882,656392.556922664
473,1709040.9469,659530.370422664
474,1710095.8104,657861.507422657
475,1707766.413,656431.083522663
476,1708616.5567,656130.390422664
477,1707150.0338,656275.044722666
478,1706122.5269,656502.005822662
479,1704145.4738,658457.98902267
480,1705937.4978,658973.686622664
481,1705659.1173,658901.020722669
482,1714466.0118,655718.203622668
483,1713662.0417,654990.472422659
484,1713470.3206,654286.59972266
485,1712755.7346,652209.424522667
486,1711236.3722,652371.249422663
487,1710535.4925,652073.092122666
488,1710082.5908,651520.736522664
489,1709346.1544,650826.362622665
490,1708863.2194,650130.860622668
491,1707098.1857,650200.983722668
492,1713288.0232,655670.339522664
493,1711659.8648,655983.633922666
494,1712707.95,653893.419822668
495,1709984.9497,654770.206622662
496,1711702.0374,654463.685422667
497,1711535.5115,654549.809422666
498,1709493.359,654495.153022668
499,1707766.2404,654904.307322661
500,1707637.9906,654807.459722658
501,1706816.8229,654469.285322662
502,1706477.6344,654472.228222666
503,1705509.1117,656031.840322662
504,1705932.0856,652784.252122664
505,1708262.1181,652139.909122664
506,1708318.2408,651876.991722665
507,1707335.8216,650964.998422664
508,1710924.7432,648744.339222668
509,1713399.2951,662360.555022661
510,1712010.2398,663026.230822662
511,1711688.0602,663415.967222665
512,1710751.6062,663721.00002266
513,1712284.0323,664288.688222664
514,1715519.4406,661858.010622667
515,1715497.6386,664665.008522663
516,1712931.0812,665060.013822668
517,1707909.0285,668026.366422667
518,1707646.9613,668308.813322662
519,1706259.6522,666396.447122665
520,1705995.6004,666560.423322667
521,1707895.2562,664985.946022665
522,1707582.6347,665309.597922663
523,1709157.1633,669508.901522665
524,1710548.4059,668127.784722666
525,1709619.6763,671303.872022661
526,1710133.7801,672404.786522667
527,1710145.819,672403.258922668
528,1707803.934,670025.099622671
529,1706698.7644,669198.674422669
530,1708484.4632,671595.966422664
531,1706725.594,671405.194822666
532,1705392.6399,674249.553822664
533,1703560.3971,673646.300322662
534,1704642.0259,671545.757822659
535,1702128.5936,671354.209122662
536,1701116.5386,672043.489122667
537,1703140.731,672632.001322663
538,1702976.0767,672721.115322666
539,1701125.483,670545.261122667
540,1703869.4175,669345.802322665
541,1703857.8318,668703.242422661
542,1703597.1038,668458.79612266
543,1702326.3002,668767.703122662
544,1702608.3455,668361.213522665
545,1702793.9613,668363.335822661
546,1701874.724,668926.500322664
547,1701626.9402,668994.414022662
548,1700976.2067,669176.913722662
549,1702413.3246,670229.689322662
550,1701878.232,670322.616222665
551,1702772.0244,666656.184622666
552,1702013.6467,665214.660322668
553,1702043.0975,665048.111122666
554,1701262.5683,667339.315022662
555,1702398.1886,661941.999722668
556,1702122.064,662761.678422668
557,1702258.8718,661674.820622661
558,1701579.6244,664716.38832266
559,1702773.2224,663873.511322662
560,1705985.7043,670030.879922659
561,1706216.3259,669738.790822666
562,1707175.5161,672122.007222663
563,1706896.0095,672112.049922661
564,1704835.047,674014.889222666
565,1704180.7283,674873.238622663
566,1705030.6441,673856.629522665
567,1701513.4047,673136.635622665
568,1701627.4427,675692.990822664
569,1693011.8097,671462.979622663
570,1692704.3388,671662.540622667
571,1693254.0027,671149.415622661
572,1690420.74,672553.483722667
573,1690282.6639,673214.987422664
574,1689549.8695,671711.435422664
575,1689727.6288,671666.75462266
576,1690034.021,671647.833522663
577,1688788.2527,671850.154622661
578,1688826.3749,671806.140622659
579,1688589.9586,672280.835822656
580,1688513.9056,672824.978522663
581,1687968.0237,672969.321822665
582,1687942.9362,672895.653922664
583,1686608.4389,672305.16222267
584,1687846.2839,672900.540422661
585,1689872.6616,669766.985822667
586,1689315.9175,671214.274622661
587,1690175.9892,669398.768322662
588,1692361.2115,669317.031022662
589,1691779.5343,669424.682422663
590,1691504.4519,669571.091222658
591,1692033.8636,670626.182222669
592,1691487.3459,671242.217522667
593,1690896.0851,668592.96082267
594,1690615.917,669231.029522667
595,1688560.9129,668804.094922668
596,1688133.2233,669994.132922662
597,1687492.1166,669902.550522664
598,1686882.3416,669938.448522667
599,1687671.7035,670880.520922667
600,1687698.274,671064.609322662
601,1688974.8941,668801.024522662
602,1689771.9231,668583.616022665
603,1685061.7295,670802.879622663
604,1686420.76,668775.070422671
605,1686248.8317,668957.325722662
606,1685072.7947,667531.491022659
607,1684896.2327,667699.633722665
608,1684729.8952,668360.16632266
609,1684362.6224,668819.114722664
610,1687791.3037,666144.221322666
611,1686780.6582,667541.231622664
612,1686602.389,667564.825822665
613,1686597.0119,664496.772922666
614,1694770.971,667607.153422662
615,1694551.24,667115.744522662
616,1696057.725,664616.87842266
617,1695514.1565,664903.34452267
618,1695939.0964,664674.607922663
619,1695162.9885,664645.07812266
620,1692984.6083,665973.515722663
621,1692671.2627,665684.257622666
622,1692037.7013,665898.434922667
623,1691820.8163,665745.758022662
624,1690737.6794,665409.951022665
625,1691090.5592,665613.596822661
626,1691478.4981,665623.098322665
627,1690255.8034,665615.629922669
628,1699245.8838,666497.948522671
629,1698638.8455,666970.832222657
630,1698610.8177,667061.619222662
631,1698626.8866,667209.456322667
632,1697918.8407,665629.957622668
633,1697895.1798,665514.655922662
634,1700114.954,664840.317322663
635,1700273.3845,664859.990722664
636,1697036.5025,673196.657122666
637,1698766.807,674555.650622667
638,1696268.643,673504.461822661
639,1694931.5357,673605.534022667
640,1691705.7469,674317.658022662
641,1694680.5154,673361.495822665
642,1694929.9933,673587.57512266
643,1694930.7748,673589.230422665
644,1691259.7994,674664.91292266
645,1694716.9915,675387.693122666
646,1695465.0096,675193.480722663
647,1694325.5696,675710.285622665
648,1693192.9284,675633.596122664
649,1692985.1531,675603.533622661
650,1692254.6391,677651.92502266
651,1694114.0279,677912.391622663
652,1691963.378,677590.334522663
653,1691644.5829,677653.729422667
654,1691113.4815,677578.578322667
655,1691476.0168,681301.438422661
656,1691803.0096,682736.312422663
657,1690249.41,678135.030022663
658,1689552.7849,677756.045922658
659,1689021.3148,676147.563722666
660,1688846.3436,675956.967122662
661,1688263.8294,674662.210122665
662,1687511.6546,674289.270622661
663,1687062.5622,674135.191322665
664,1689260.354,679984.805822667
665,1688758.349,679847.918622663
666,1688351.626,679724.164522664
667,1688077.6841,679818.387822667
668,1689261.4593,679159.489422668
669,1688723.1489,679562.350822664
670,1689031.5172,678105.005722664
671,1688325.7056,678447.350922664
672,1688078.5247,678384.975222663
673,1686273.5683,677572.841922665
674,1686513.7977,679295.31322266
675,1688409.6507,676332.447222666
676,1688112.8898,676694.215122668
677,1687228.3049,675246.344222662
678,1686815.786,675559.001222664
679,1686820.2527,675890.228422663
680,1686965.2107,676205.257522661
681,1686219.7277,675930.765222669
682,1685830.337,675763.632322666
683,1686510.6194,674881.007622667
684,1686408.8472,674627.920322667
685,1689419.1209,675186.895222665
686,1689721.1752,674941.602822663
687,1688594.5617,682747.067122666
688,1689148.9251,683466.806322666
689,1689026.3279,681550.237722664
690,1687954.6428,682930.943822666
691,1687752.1742,682818.156822663
692,1684080.1056,684028.93542266
693,1683835.1795,683909.390322665
694,1683494.7583,684340.105322666
695,1683092.7189,684382.469222661
696,1684747.8656,683109.589022665
697,1684539.4526,683328.319422666
698,1681623.9036,680276.750222658
699,1684021.4586,680299.785622667
700,1684214.0401,679836.455922668
701,1682286.7141,682296.809422666
702,1681887.4852,682478.691122667
703,1685525.3288,678880.749622658
704,1686065.3865,678224.092722661
705,1687209.3838,680628.073122662
706,1684374.4439,685857.557422667
707,1686729.6444,686120.108422664
708,1683882.6846,685814.627922663
709,1683690.0878,685879.587322667
710,1683625.3573,685962.271422665
711,1677600.1101,685552.916522664
712,1676145.3012,685929.191522665
713,1675405.8645,686845.65192266
714,1676056.1538,686334.001022661
715,1674950.1989,687774.97792267
716,1681553.5961,683524.071322661
717,1682009.5298,682932.782622661
718,1680184.908,689461.850022667
719,1680247.0554,689472.934622661
720,1680289.499,689477.742522667
721,1677477.4109,690373.97122266
722,1675486.4232,695088.991622665
723,1675223.9722,692612.505722664
724,1673647.4579,701128.924822668
725,1674693.9914,702546.727222667
726,1675439.2915,700691.076122662
727,1675433.905,703878.510322664
728,1675771.1065,707610.331922665
729,1675271.274,706525.46472267
730,1676112.4726,709671.476222661
731,1677073.3263,709275.628622663
732,1674230.9291,707797.154222666
733,1672664.7924,706309.324722664
734,1673228.9937,709433.568922669
735,1671587.6996,708602.466722665
736,1670988.0003,706670.272722663
737,1671809.6504,703707.628222666
738,1670550.4486,701813.170122661
739,1671319.3502,701361.893322665
740,1671410.1441,701067.521922665
741,1669554.9495,700612.792722666
742,1669460.0448,700704.720422663
743,1668794.6881,701981.714722663
744,1670749.6296,696274.694422662
745,1667100.4966,696690.239522662
746,1668206.3127,693888.126022667
747,1668808.6054,692544.915522664
748,1669290.6564,690615.096722666
749,1669130.4091,691185.14462267
750,1668486.0482,689423.871822669
751,1668150.2143,689958.329722665
752,1667710.7256,690601.15782266
753,1667575.2201,691247.290622671
754,1667515.6853,693347.616322665
755,1667248.0629,693509.337022666
756,1672417.8326,687281.06102266
757,1672711.6825,687093.59722266
758,1674197.9013,688175.012622665
759,1674987.1809,689481.236422667
760,1678482.05,694054.525722666
761,1678261.0276,693065.047422661
762,1677065.3528,699270.726022666
763,1676786.5176,695860.567622663
764,1675843.5791,696058.681822667
765,1675596.4186,696347.40102266
766,1676598.728,696395.601322665
767,1676520.8493,697264.050122658
768,1676309.5058,699827.145922661
769,1674973.6637,699299.229822662
770,1674981.5805,697728.858522663
771,1680440.0431,708365.007922665
772,1680126.3199,704303.049522668
773,1680326.3495,702528.875922667
774,1680307.9315,701089.013922667
775,1678657.7939,700439.470922663
776,1678603.8109,700461.626422668
777,1677911.3654,702370.903422663
778,1677831.5681,702861.599622671
779,1676507.4146,705689.930022661
780,1679615.6238,702927.588822662
781,1677213.9196,706657.942422663
782,1675930.8254,703008.243122667
783,1676017.1587,701738.210622663
784,1685187.7679,703768.460322668
785,1685539.7446,702863.542422664
786,1683087.5939,707515.703422663
787,1682685.6993,705118.943422667
788,1683685.2931,708860.465922661
789,1683864.2538,708541.015022667
790,1684109.753,708259.793022662
791,1686765.9675,706057.740322662
792,1682196.8908,710863.949822668
793,1682928.6793,711659.264222666
794,1688222.707,711665.610222663
795,1688182.084,712963.89602267
796,1687538.9211,717549.351822664
797,1687074.3995,715609.269922662
798,1684819.757,717057.149722665
799,1682929.6647,713600.688822665
800,1684696.7864,710754.884822668
801,1685326.1725,709423.918222663
802,1692622.9197,712479.525622664
803,1689384.7044,712400.920222664
804,1688713.3253,702158.71882266
805,1688692.3002,702101.682322661
806,1688413.1272,705419.96282266
807,1688712.5985,702302.667122658
808,1688716.2892,702291.555522662
809,1689807.6045,707139.669722663
810,1689719.9364,705142.038422661
811,1692235.6172,703482.278922662
812,1690475.1643,701774.067022667
813,1693515.4321,701248.712222665
814,1693657.8426,699280.072422666
815,1693505.0062,701387.951922665
816,1693343.1601,703976.16382266
817,1695270.1538,702283.044722663
818,1695331.7632,701602.032722664
819,1694252.3219,705867.622922667
820,1694308.7676,704144.684922659
821,1698812.4382,707887.543822672
822,1703513.38,714177.313422664
823,1700535.7761,709237.06452266
824,1700464.0283,709234.155822671
825,1703802.3127,708249.181722667
826,1704298.9044,707321.889622663
827,1706085.541,710832.390922666
828,1707840.4694,710395.609822666
829,1707382.8144,709735.125222666
830,1709470.4562,712604.78482266
831,1709881.5693,712949.610122661
832,1711085.1366,713153.641522666
833,1721688.823,723569.023022667
834,1721819.7333,722462.972722664
835,1729464.3041,723997.789222659
836,1726209.061,733330.616322668
837,1718878.0184,729113.614122667
838,1734817.9223,733855.285022666
839,1727732.1638,745706.924622662
840,1727979.676,746062.664522663
841,1720459.1053,736191.934022665
842,1719989.9851,741956.833822661
843,1718071.3881,740574.201722663
844,1712035.0757,737474.116622664
845,1710500.3617,734337.066922665
846,1713716.4594,728639.295922667
847,1706240.6797,729941.009622658
848,1709193.172,722549.538322664
849,1705712.3946,726445.586422662
850,1706542.1837,725640.011722666
851,1704426.4494,728905.297822665
852,1703564.3437,727622.680222661
853,1707287.703,722999.756922665
854,1704958.0952,723347.083322666
855,1707149.378,722936.994222668
856,1706394.4248,720838.591222662
857,1707920.5346,719504.189022667
858,1708356.2251,717564.728922664
859,1706221.1816,713491.935022662
860,1706252.6045,711705.907222666
861,1705193.8151,711236.307922657
862,1704315.9575,712736.444222669
863,1704775.6987,714511.477522666
864,1702952.6284,715195.051622665
865,1704820.444,719501.828922661
866,1704938.3281,722763.446022664
867,1700531.5237,724767.886422667
868,1701012.5953,723006.502122663
869,1702455.8681,718984.587722669
870,1700081.9107,722518.317122667
871,1700288.0065,720019.271922669
872,1704482.9287,717688.647422664
873,1700078.2325,718734.318322667
874,1700303.5212,715049.333922662
875,1700182.2639,714028.757922663
876,1699022.6085,718273.23002266
877,1698121.9025,718276.587222663
