"Site.ID","Mu_intercept","Mu_prec.conc","Mu_temp.conc","Mu_prec.lag","Mu_temp.lag","Sig_intercept","Sig_prec.conc","Sig_temp.conc","Sig_prec.lag","Sig_temp.lag","Nu_intercept","Nu_prec.conc","Nu_temp.conc"
"01010000",9.19149662283554,0.00581131111971124,0,0.00533274384580448,0,-1.35681767606115,0,0,0,0,0,0,0
"01105000",4.36609182746404,0.0115610826164764,0,0,-0.0905844227879639,-1.11038122277078,0,0,0,0,0,0,0
"01163200",4.22831284627939,0.0120227446193369,0,0,-0.106871805126505,-1.12901705295018,0,0,0,0,0,0,0
"01306495",2.79109937818419,0.00647223032411116,0,0,0,-1.43707237005192,0,0,0,0,0,0,0
"01387000",4.39995593543612,0.0170569920859444,0,0,-0.21027044616547,1.18230169278752,-0.0105363079438981,0,0,0,0,0,0
"01429500",6.56449242936493,0.00523885806111409,0,0,0,0.378332696641256,-0.0149592946632907,0,0,0,0,0,0
"01473169",3.68431345514316,0.0187983912199757,0,0,0,-0.900124281257662,0,0,0,0,0,0,0
"01534500",5.88808989974098,0.00909607145891848,0,0,-0.0786416991743713,-1.04245773124672,0,0,0,0,0,0,0
"01580000",5.26404408245733,0.0138366981796225,0,0,-0.124912808025436,-0.85061775332928,0,0,0,0,0,0,0
"01633000",7.10170965573989,0.0167494376987012,0,0,0,-0.715183347535464,0,0,0,0,0,0,0
"02018500",4.63529175082602,0.0172541480371036,0,0,0,0.313515925203889,-0.00798622905251256,0,0,0,0,0,0
"02073000",6.21523071582303,0.0143791307018118,0,0,0,-0.856569015242586,0,0,0,0,0,0,0
"02109500",5.37892143615703,0.0143773862232194,0,0.0118466434204399,0,-0.792326600940401,0,0,0,0,0,0,0
"02162093",3.42446693232456,0.0126560648610934,0,0,0,-0.865587258095341,0,0,0,0,0,0,0
"02227500",6.32735949226265,0.0208654952615648,0,0.0155904588437149,-0.157683596841326,-0.540771965424033,0,0,0,0,0,0,0
"02292900",6.66880381255929,0.0112330060397936,0,0.0134574980608208,0,0.018261959216308,-0.00923305220408275,0,0,0,-3.95124371858143,0,0
"02314500",5.3896754251783,0.0128992012445385,0,0.0137685594166922,0,1.04456170864811,-0.0100709249598918,0,-0.00737954475316597,0,0,0,0
"02358700",12.4042227205218,0.00760559838801305,-0.165338268913711,0.00673968349622149,0,-1.10288985605854,0,0,0,0,0,0,0
"02423380",5.65001779019695,0.0186477321616425,0,0,0,-0.626904256086515,0,0,0,0,0,0,0
"02479130",7.02400474839815,0.0113699576312637,0,0,0,-0.604328637357944,0,0,0,0,0,0,0
"03054500",8.59744947128902,0.00814268917806923,0,0,-0.0902173828209551,-1.15253375298505,0,0,0,0,0,0,0
"03159540",6.46815060589544,0.0145471641029632,0,0,0,-0.877955583394682,0,0,0,0,0,0,0
"03237500",7.34749509710123,0.0163855696411234,0,0,0,-0.802107969262394,0,0,0,0,0,0,0
"03302800",6.88306652566008,0.0149410018728778,0,0,0,-0.817266091543183,0,0,0,0,0,0,0
"03353637",4.39949457263952,0.0141634932899948,0,0,0,-0.616734376817937,0,0,0,0,0,0,0
"03453500",7.49481475476358,0.011705385547611,0,0.00370902822547696,0,-1.02143628065209,0,0,0,0,0,0,0
"04037500",4.17422434005966,0.0125551367830865,0,0,0,-1.38089006608027,0,0,0,0,0,0,0
"04099510",4.09706743192567,0.0116301326160234,0,0.00880472748214664,-0.0756549675741536,-1.05701719078677,0,0,0,0,0,0,0
"04163400",4.39587937693527,0.0121940073505681,0,0,0,-0.918586828434561,0,0,0,0,0,0,0
"04221000",7.17147090421909,0,0,0.00727297762687312,-0.132191962323346,0.844219583785187,-0.0260279934405666,0,0,0,0,0,0
"04288000",7.53021773749613,0.0046480702122292,0,0,0,0.108436692319215,-0.012677180170466,0,0,0,0,0,0
"05116500",5.93372536846141,0,-0.28169230232868,0.0986251918577237,0,0.992493061012881,0,0,0,0.0790390838561774,0,0,0
"05357215",3.32154886153388,0,0,0,0,-0.789441234939894,0,0,0,0,0,0,0
"05438283",4.02715344946408,0.0180635795978425,-0.28453441350992,0,-0.140789634908744,1.21381441206238,0,0,-0.0355872018174815,0,0,0,0
"05483600",5.21701186681183,0.0211205073759525,0,0.0307769032110378,0,-0.402719066100079,0,0,0,0,0,0,0
"05535500",3.71246645917986,0.0132556786988318,0,0.00735711136966681,0,-0.934804767384693,0,0,0,0,0,0,0
"05588000",4.39653584664037,0.0209787754200498,0,0,0,-0.424343071894962,0,0,0,0,0,0,0
"06174500",7.38193582193317,0,0,0.10888351482973,0,0.519022321097472,0,0,-0.0585855434336885,0,0,0,0
