"Site.ID","Mu_intercept","Mu_prec.conc","Mu_temp.conc","Mu_prec.lag","Mu_temp.lag","Sig_intercept","Sig_prec.conc","Sig_temp.conc","Sig_prec.lag","Sig_temp.lag","Nu_intercept","Nu_prec.conc","Nu_temp.conc"
"01010000",7.4440035666615,0.0139192877295073,0,0,0,-0.695236171347632,0,0,0,0,0,0,0
"01105000",1.82325610724616,0.0224577526129558,0,0.00854943702590986,0,-0.872847022900433,0,0,0,0,0,0,0
"01163200",2.43633987501414,0.015438075628194,0,0.0116493011576082,0,0.616486628048266,-0.012617608085145,0,0,0,0,0,0
"01306495",2.46669372202781,0.00946673915248835,0,0,0,-0.946902782046667,0,0,0,0,0,0,0
"01387000",-0.659444635398485,0.0259457979358287,0,0.0242421244098298,0,0.109132887788858,0,0,0,0,0,0,0
"01429500",1.92043156432441,0.0261172437806955,0,0.0145826043886843,0,-0.282437687107556,0,0,0,0,0,0,0
"01473169",3.44167683022746,0.0177365282650556,0,0,0,-0.680245230086869,0,0,0,0,0,0,0
"01534500",3.50000963346009,0.0241073616228864,0,0,0,-0.50513983033248,0,0,0,0,0,0,0
"01580000",4.11596267509288,0.0213203784731872,0,0,0,-0.547674014186926,0,0,0,0,0,0,0
"01633000",4.23231777678279,0.0324941348279589,0,0,0,-0.293983935421544,0,0,0,0,0,0,0
"02018500",9.844728518223,0.038847571327154,-0.411149049587574,0,0,0.769916729775826,0,0,-0.00932839561363717,0,0,0,0
"02073000",9.25560801380595,0.0171646454071214,-0.194195495604373,0.0060368831360387,0,-1.98316142118939,0.00980272558315691,0,0,0,0,0,0
"02109500",3.84168869297432,0.0242866452823993,0,0,0,-0.274292686372451,0,0,0,0,0,0,0
"02162093",3.68531536975541,0.00853533182930576,0,0,0,-0.663894952605976,0,0,0,0,0,0,0
"02227500",14.4858451615297,0.0178040655473935,-0.399911968370199,0.00927772467937505,0,-6.29566337372513,-0.0126659913034532,0,0,0.411040519000817,0,0,0
"02292900",7.42762133771036,0.00691134963682126,0,0,0,-0.695736959882235,0,0,0,0,0,0,0
"02314500",12.953631306009,0.0231602007350929,-0.412652659072094,0.0167950497063187,0,-5.76910745537133,-0.00966958264487909,0,0,0.347006190349845,0,0,0
"02358700",7.76510200315793,0.0113533979008526,0,0.0096801413483202,0,-0.89327255823037,0,0,0,0,0,0,0
"02423380",3.43742354670277,0.0283583427292045,0,0,0,-1.3264613206522,0.00552197263740936,0,0,0,0,0,0
"02479130",5.57415475330315,0.0149179497014176,0,0,0,-0.421990501895144,0,0,0,0,0,0,0
"03054500",13.7752584404037,0.0218820564692319,-0.397023814868915,0,0,-0.632045902830023,0,0,0,0,0,0,0
"03159540",3.8509732468276,0.0297698586298233,0,0,0,-0.248534527644842,0,0,0,0,0,0,0
"03237500",5.83022605942965,0.0213162018985884,0,0,0,1.12815095397153,-0.0139744944259864,0,0,0,0,0,0
"03302800",8.30247909737256,0.0222214327926367,0,0,-0.2523657214944,-0.492693074885519,0,0,0,0,0,0,0
"03353637",3.62238783453514,0.019397075202137,0,0,0,-0.150284557973825,0,0,0,0,0,0,0
"03453500",12.6372562117562,0.0115951562434203,-0.257113587278266,0,0,-0.913942964913508,0,0,0,0,0,0,0
"04037500",4.60656167130543,0.00399998929466809,0,0,0,0.657187230975309,-0.0155449417831254,0,0,0,0,0,0
"04099510",2.27340056863595,0.0157315629211135,0,0.0154784063094612,0,-0.560847642040958,0,0,0,0,0,0,0
"04163400",3.12284555147921,0.0202558905274537,0,0,0,-0.282471429058723,0,0,0,0,0,0,0
"04221000",2.25402393042575,0.0344257577691196,0,0.0141363903092383,0,1.01717131251198,0,0,0,-0.241381672561552,0,0,0
"04288000",4.23317829906363,0.0234271294944385,0,0,0,-0.551582536315387,0,0,0,0,0,0,0
"05116500",1.03393127627306,0.0292941785739533,0,0.0530488593645805,0,0.101977544696472,0,0,0,0,0,0,0
"05357215",2.55484525737299,0.0072155414392737,0,0,-0.0837336954302535,-1.07799870091739,0,0,0,0,0,0,0
"05438283",1.47584950766673,0.0231894380882226,0,0,0,0.0627583848596685,0,0,0,0,0,0,0
"05483600",4.67262819704036,0.0143887160045203,0,0.0172123836007285,0,-0.486246082765103,0,0,0,0,0,0,0
"05535500",2.84939987042799,0.0216468072016339,0,0,0,-0.402828972580181,0,0,0,0,0,0,0
"05588000",4.62446735874247,0.0165791904875855,0,0,0,0.706064561502141,-0.00877997546388558,0,0,0,0,0,0
"06174500",4.78391730471999,0.0355725199791526,0,0.0446488725974562,0,-0.277146263754416,0,0,0,0,0,0,0
"06337000",5.45388033303025,0.0297412296240488,0,0.026661798360294,0,-0.276896005704252,0,0,0,0,0,0,0
"06437000",3.65019293009124,0.045010834176701,0,0.0294714397723801,0,-0.339138130687776,0,0,0,0,0,0,0
