"Site.ID","Mu_intercept","Mu_prec.conc","Mu_temp.conc","Mu_prec.lag","Mu_temp.lag","Sig_intercept","Sig_prec.conc","Sig_temp.conc","Sig_prec.lag","Sig_temp.lag","Nu_intercept","Nu_prec.conc","Nu_temp.conc"
"01010000",6.94018885561903,0.0158476371013708,0,0.00596467192553493,0,-0.780168959728436,0,0,0,0,0,0,0
"01105000",2.27308885361782,0.0187418827473281,0,0.00746209671490155,0,-0.963163066011884,0,0,0,0,0,0,0
"01163200",3.33138433379761,0.0178894213369002,0,0,0,-1.03960969653778,0,0,0,0,0,0,0
"01306495",2.66006565557138,0.00590388792153209,0,0,0,-1.4309138688073,0,0,0,0,0,0,0
"01387000",1.17422251741392,0.0121327919290927,0,0.00980947162269123,0,-2.52318592751114,0.0120105131435663,0,0.00621263948148271,0,0,0,0
"01429500",4.71132163601654,0.0173629665334823,0,0,0,0.257171772270134,-0.00795730894941132,0,0,0,0,0,0
"01473169",3.10457967031838,0.024346368101179,0,0,0,-1.67471678446841,0.00964344777385566,0,0,0,0,0,0
"01534500",3.4699721156779,0.0208883698623046,0,0.00781945515904442,0,-0.66417508648055,0,0,0,0,0,0,0
"01580000",2.99117165470267,0.0268464794579355,0,0.00787134745793797,0,-1.33161088924852,0.00684462845801208,0,0,0,0,0,0
"01633000",3.63531453001832,0.0477303114396185,0,0,0,-0.348991062537038,0,0,0,0,0,0,0
"02018500",-0.308567661966985,0.0440686169899135,0,0.0128405838019089,0,-0.172289444359279,0,0,0,0,0,0,0
"02073000",5.82804558406741,0.0166731145024262,0,0,0,-0.580901095729069,0,0,0,0,0,0,0
"02109500",4.56723343987264,0.0198507300143751,0,0.00694172682540732,0,2.55955115026771,-0.013598136560572,0,-0.0111199079598029,0,0,0,0
"02162093",3.17871999690867,0.016532623691799,0,0,0,-0.916121081369812,0,0,0,0,0,0,0
"02227500",1.54108106298545,0.0272219563589606,0,0.024354163683023,0,0.00219742952110277,0,0,0,0,0,0,0
"02292900",6.98181367633089,0.0103090057419045,0,0.00406663456401642,0,0.361804231711344,-0.0120096985776578,0,0,0,0,0,0
"02314500",12.2692853819477,0.0201339418088901,0,0.0179275828639367,-0.351720434469005,-0.076700366678072,0,0,0,0,0,0,0
"02358700",7.91697195941291,0.0141001184774573,0,0.00800710149933906,0,-0.910655468138791,0,0,0,0,0,0,0
"02423380",4.67879265654729,0.0224089242190109,0,0,0,-0.644733157490433,0,0,0,0,0,0,0
"02479130",5.19043335611698,0.012516616592497,0,0.00964116204370191,0,-0.493340357051675,0,0,0,0,0,0,0
"03054500",6.85059549416854,0.0215780180865836,0,0,0,0.198964609327146,-0.00780976517625958,0,0,0,0,0,0
"03159540",8.513700708728,0.0422099065047049,0,0,-0.245121013127757,-0.429540089789229,0,0,0,0,0,0,0
"03237500",4.27064693149266,0.0308332633910194,0,0.0104927682033441,0,1.2795136822787,-0.0207597498651392,0,0,0,0,0,0
"03302800",3.84282536839169,0.0297816936260538,0,0.00762433805289342,0,0.441011945522166,-0.0106539303569723,0,0,0,0,0,0
"03353637",1.7566905006442,0.038372096053383,0,0,0,-0.303027572526589,0,0,0,0,0,0,0
"03453500",6.5926257300372,0.0146484374478421,0,0.00500114639137689,0,-1.13527857257786,0,0,0,0,0,0,0
"04037500",4.35665897601503,0.00812127934897572,0,0,0,-0.558340851162938,-0.0119430958702122,0,0,0,0,0,0
"04099510",0.592341345967984,0.0324339959241857,0,0.0156643047323916,0,-3.07100502724142,0,0.212706743755137,0,0,0,0,0
"04163400",2.19762763707105,0.0320858505903002,0,0,0,0.677259566303139,0,0,-0.0165922001782983,0,0,0,0
"04221000",2.750575679546,0.0420114143976754,0,0.00972595438048075,0,-0.560971964533937,0,0,0,0,0,0,0
"04288000",5.03164494007589,0.0196274862306433,0,0,0,-0.794777208300803,0,0,0,0,0,0,0
"05116500",2.36339717681915,0.0305172655842564,0,0,0,0.246990379099015,0,0,0,0,-4.30406509271408,0,0
"05357215",2.14526366682039,0.0114073122482246,0,0,0,-1.15522566744825,0,0,0,0,0,0,0
"05438283",-2.08505895095922,0.0336260945047152,0,0.0159326647638163,0,-0.491904566052392,0,0,0,0,0,0,0
"05483600",2.06677263470624,0.0387357202218771,0,0.0162198258158612,0,-0.298029399300101,0,0,0,0,0,0,0
"05535500",2.25854082277845,0.0208934764574225,0,0.00662016705019927,0,0.316630084610237,-0.0145723257167291,0,0,0,0,0,0
"05588000",1.57539187536064,0.0331650645760264,0,0.011839700434512,0,0.664365320377879,-0.0106458499582519,0,0,0,383.953112872821,-11.1965697136687,0
"06174500",8.45150366880784,0.0356725272790013,0,0.0229782386715353,-0.203522050911623,-1.16465907846715,0.0303886639101345,0,0,0,0,0,0
"06337000",5.29280702950884,0.0521649805466968,0,0,0,0.554887748739127,-0.0284456031843801,0,0,0,0,0,0
"06437000",5.14429611531888,0.0363210764783636,0,0,0,-1.47689685356341,0.0297691788114606,0,0,0,0,0,0
"06609500",3.39355224712071,0.0366278034689231,0,0.013959253519318,0,-0.0889876758376129,0,0,0,0,0,0,0
"06801000",7.1618716732268,0.0334569201817126,0,0.0175230415071903,0,-3.56722978162961,0,0.306544175110452,0,0,0,0,0
"06868200",4.15104570416027,0,0,0.014473148569556,0,0.307564790539527,0,0,0,0,0,0,0
